primaryID,secondaryID
Q18033894,Q7275839
Q18033927,Q6714186
Q18033938,Q3648905
Q18033942,Q5512998
Q18033946,Q15996964
Q18033952,Q6714416
Q18033958,Q5974802
Q18033962,Q5013429
Q18033970,Q5514277
Q18033978,Q4654853
Q18033990,Q4650537
Q18034014,Q7906486
Q18034022,Q7390956
Q18034030,Q5013680
Q18034046,Q6955210
Q18034060,Q15996934
Q18034061,Q5971047
Q18034062,Q7394784
Q18034064,Q7276295
Q18034064,Q19602616
Q18034066,Q6459753
Q18034078,Q5014992
Q18034081,Q8063177
Q18034083,Q6327112
Q18034117,Q5013944
Q18034258,Q5635442
Q18034305,Q6047021
Q18034309,Q5323178
Q18034320,Q7394889
Q18034337,Q4651003
Q18034337,Q65226815
Q18034345,Q7669560
Q18034350,Q7907456
Q18034354,Q4834552
Q18034398,Q7275961
Q18034403,Q7956061
Q18034412,Q7277216
Q18034418,Q7277237
Q18034495,Q7391808
Q18034504,Q7276678
Q18034528,Q6715957
Q18034530,Q7120129
Q18034577,Q5204847
Q18034596,Q907305
Q18034596,Q5323830
Q18034598,Q5010319
Q18034620,Q7275000
Q18034657,Q7119224
Q18034661,Q4835198
Q18034669,Q1908969
Q18034671,Q7391927
Q18034672,Q5205070
Q21112873,Q21137183
Q18042554,Q5008395
Q18042639,Q5008465
Q18042703,Q6715406
Q18042708,Q7073112
Q18042920,Q5007788
Q18042935,Q7391399
Q18042943,Q7118938
Q18042947,Q7388605
Q18042981,Q5007426
Q18042985,Q7671928
Q18043004,Q16252747
Q18043018,Q6717593
Q18043023,Q7275012
Q18043056,Q5102939
Q18043062,Q5013162
Q18043077,Q6954656
Q18043087,Q6716432
Q18043095,Q7907068
Q18043095,Q11224228
Q18043142,Q6459870
Q18043151,Q6332685
Q18044393,Q5323840
Q18044410,Q5514153
Q18044416,Q5011084
Q18044499,Q6716021
Q18044555,Q6953162
Q18044611,Q6714478
Q18044733,Q5008556
Q18044793,Q7949234
Q18044989,Q5007694
Q18045083,Q15996686
Q18045140,Q15997247
Q18045175,Q7389255
Q18045214,Q16831138
Q18045350,Q6717584
Q18045462,Q5426009
Q18045495,Q6719102
Q21146160,Q21978864
Q21123847,Q7275769
Q18057803,Q1520424
Q18057983,Q5514691
Q18058117,Q6716209
Q18058117,Q89656883
Q18058192,Q7670862
Q18058369,Q5323142
Q18058613,Q1521482
Q21149776,Q21418962
Q18046311,Q4835074
Q18046315,Q5014903
Q18046343,Q16252137
Q18046371,Q5323093
Q18046431,Q7863818
Q18046531,Q7276999
Q18046545,Q6955197
Q18046643,Q7072801
Q18046662,Q7277969
Q18046689,Q15996790
