?primaryID	?secondaryID
Q18030898	Q7250945
Q18030930	Q7121009
Q18030932	Q7120998
Q18030941	Q7121015
Q18030957	Q7121027
Q18030972	Q4650079
Q18030993	Q7275037
Q18030994	Q1568526
Q18031010	Q7275082
Q18031025	Q7275739
Q18031027	Q7275738
Q18031031	Q7275775
Q18031034	Q7275786
Q18031038	Q7275783
Q18031052	Q4653779
Q18031056	Q7275911
Q18031080	Q7276232
Q18031084	Q7276296
Q18031107	Q7276601
Q18031108	Q7276600
Q18031113	Q7316764
Q18031119	Q7276665
Q18031120	Q7276667
Q18031121	Q7276668
Q18031134	Q7276800
Q18031135	Q7276836
Q18031159	Q7277235
Q18031207	Q7275811
Q18031226	Q7322414
Q18031232	Q7277522
Q18031234	Q7277487
Q18031249	Q7277502
Q18031250	Q7277505
Q18031255	Q7277506
Q18031277	Q15997113
Q18031284	Q7277577
Q18031293	Q7277586
Q14908120	Q17835618
Q15331874	Q18028727
Q15996565	Q18046803
Q15996927	Q17837622
Q17119392	Q18045549
Q17708701	Q4650325
Q17709258	Q4650837
Q17709536	Q4032892
Q17709600	Q4651066
Q17710293	Q4651120
Q17815968	Q5834612
Q17816607	Q4652245
Q17859534	Q5323735
Q17859544	Q5323737
Q17859635	Q14088048
Q17859717	Q5009893
Q17859723	Q5009875
Q17859871	Q5009938
Q17861193	Q908777
Q17861522	Q5105069
Q17861547	Q15996587
Q17861723	Q5011083
Q17861971	Q5104344
Q17861982	Q5011323
Q17861983	Q16252168
Q17861998	Q5011866
Q17861999	Q7669529
Q17862007	Q5012535
Q17862091	Q4498254
Q17862108	Q4498257
Q17907793	Q5012800
Q17907803	Q5009687
Q17908602	Q5013427
Q18048185	Q7391929
Q18042554	Q5008395
Q18042639	Q5008465
Q18042703	Q6715406
Q18042708	Q7073112
Q18042920	Q5007788
Q18042935	Q7391399
Q18042943	Q7118938
Q18042947	Q7388605
Q18042981	Q5007426
Q18042985	Q7671928
Q18043004	Q16252747
Q18043018	Q6717593
Q18043023	Q7275012
Q18043056	Q5102939
Q18043062	Q5013162
Q18043077	Q6954656
Q18043087	Q6716432
Q18043095	Q7907068
Q18043095	Q11224228
Q18043142	Q6459870
Q18043151	Q6332685
Q18044393	Q5323840
Q18044410	Q5514153
Q18044416	Q5011084
Q18044499	Q6716021
Q18044555	Q6953162
Q18044611	Q6714478
Q18044733	Q5008556
Q18044793	Q7949234
Q18044989	Q5007694
Q18045083	Q15996686
Q18045140	Q15997247
Q18045175	Q7389255
Q18045214	Q16831138
Q18045350	Q6717584
Q18045462	Q5426009
Q18045495	Q6719102
Q18058917	Q5628802
Q18059258	Q7864643
Q14881867	Q25411835
Q14885202	Q18028484
Q17908634	Q5013426
Q17909078	Q5013555
Q17909085	Q2113671
Q17909993	Q5013960
Q17910149	Q5013963
Q17910294	Q5013969
Q17910994	Q5014370
Q17914020	Q1626443
Q17914044	Q5206867
Q17914049	Q5287183
Q17915097	Q5206306
Q17915098	Q5206314
Q17915106	Q5206325
Q17915108	Q5206384
Q17915374	Q5322678
Q17916076	Q5323061
Q17916236	Q15996672
Q17916776	Q6714473
Q17916874	Q5323841
Q17917650	Q5324597
Q17917752	Q5324741
Q17918420	Q5137665
Q17927049	Q5424288
Q17927936	Q5425467
Q17928333	Q5425503
Q17928632	Q5426947
Q17928827	Q5426557
Q17928883	Q5426649
Q18021733	Q5013628
Q18024764	Q5427261
Q18024840	Q5427297
Q18024860	Q5427299
Q18024958	Q1532328
Q18025012	Q4039105
Q18025315	Q4834423
Q18025380	Q5512844
Q18025986	Q5513547
Q18026018	Q5513551
Q18026064	Q5573598
Q18026222	Q5513923
Q18026244	Q5513934
Q18047229	Q7670605
Q18047244	Q5425374
Q18047266	Q11071603
Q18047300	Q15996667
Q18047330	Q5514550
Q18047333	Q5007717
Q18047338	Q5323138
Q18047368	Q5514300
Q18047382	Q15997077
Q18047405	Q4653807
Q18047424	Q7876014
Q18047432	Q2025130
Q18047459	Q7390965
Q18047470	Q7670694
Q18047473	Q7948536
Q18047498	Q7390059
Q18047520	Q8045900
Q18047572	Q5113912
Q18047602	Q6714276
Q18047620	Q6715337
Q18047657	Q7275946
Q18047695	Q65067631
Q18047735	Q5513543
Q18047744	Q4835502
Q18047780	Q15996545
Q18047866	Q5424362
Q18047898	Q8063237
Q18047911	Q7670909
Q18047919	Q7394831
Q18047968	Q5629738
Q18048125	Q7671351
Q18048129	Q5008171
Q18048132	Q6458569
Q17911655	Q5014935
Q17912137	Q5014978
Q17912301	Q5204196
Q17913822	Q5204735
Q18026285	Q5513981
Q18026305	Q5514113
Q18026313	Q5514142
Q18026347	Q5514256
Q18026355	Q7002540
Q18026358	Q12746325
Q18026375	Q5514247
Q18026393	Q5514254
Q18026470	Q5514358
Q18026487	Q1486722
Q18026530	Q5514484
Q18052491	Q6715141
Q18052956	Q5514173
Q18053117	Q4044952
Q18053153	Q7672580
Q18053181	Q7119390
Q18053305	Q4044958
Q18053335	Q1521493
Q18053341	Q1521072
Q18053343	Q1521390
Q18053348	Q1521786
Q18053350	Q1522106
Q18053366	Q15997177
Q18053373	Q7277846
Q18053379	Q1521966
Q18053392	Q1521423
Q18061805	Q5010175
Q18062498	Q5635481
Q18062569	Q5513423
Q18026665	Q5514800
Q18026748	Q5629714
Q18026756	Q5629729
Q18026776	Q5628900
Q18026793	Q5628960
Q18026802	Q5629016
Q18026854	Q12746419
Q18026892	Q5629625
Q18026900	Q5629664
Q18026935	Q5630141
Q18026955	Q17152649
Q18026994	Q6738346
Q18026999	Q5630220
Q18027035	Q5952723
Q18027046	Q5426933
Q18027065	Q5384464
Q18027086	Q5635337
Q18027096	Q5635340
Q18027153	Q5635507
Q18027155	Q5635510
Q18027174	Q5635516
Q18027196	Q5635519
Q18027233	Q5635571
Q18027244	Q5635585
Q18027296	Q7120361
Q18027314	Q5635943
Q18027329	Q5635957
Q18027345	Q5635982
Q18027351	Q3639302
Q18027367	Q15996658
Q18027437	Q4639599
Q18027442	Q4639606
Q18027509	Q3788471
Q18027543	Q5970026
Q18027607	Q5970821
Q18027610	Q13668739
Q18027673	Q3146663
Q18027731	Q5971020
Q18027731	Q12384912
Q18027731	Q19607051
Q18027810	Q5971597
Q18027817	Q5971722
Q18027864	Q6046972
Q18027927	Q16252329
Q18027927	Q18374114
Q18027940	Q5972353
Q18028054	Q15996709
Q18028056	Q15996710
Q18028073	Q5974897
Q18028101	Q3906155
Q18028141	Q6327025
Q18028182	Q6327089
Q18028199	Q6327080
Q18028202	Q6327083
Q18028212	Q6327105
Q18028217	Q6327118
Q18028260	Q6330666
Q18028277	Q6331052
Q18053535	Q6107744
Q18053538	Q15996577
Q18055661	Q8063052
Q18055688	Q1425826
Q18055792	Q7390904
Q18055816	Q5514217
Q18055969	Q5205948
Q18056077	Q21152079
Q18056256	Q8063056
Q18056326	Q7394995
Q18056487	Q16252147
Q18035785	Q7670951
Q18035829	Q15996895
Q18035882	Q5008346
Q18035891	Q7277999
Q18035915	Q5007701
Q18035920	Q5514291
Q18035925	Q6460484
Q18035935	Q4835847
Q18035943	Q5322827
Q18035948	Q5323094
Q18035954	Q7392568
Q18035961	Q7120277
Q18035964	Q4651489
Q18035971	Q7389927
Q18035990	Q5012290
Q18036002	Q5009655
Q18036004	Q5513006
Q18036009	Q15996754
Q18036018	Q7390826
Q18036041	Q6458686
Q18036046	Q5059027
Q18036074	Q5204731
Q18036085	Q15996751
Q18036090	Q17082477
Q18036104	Q7394776
Q18036118	Q4651009
Q18036119	Q6955626
Q18036122	Q15996669
Q18036139	Q5009784
Q18036147	Q5009886
Q18036161	Q5013478
Q18036162	Q7948543
Q18036165	Q6457486
Q18036173	Q6955585
Q18036180	Q5424349
Q18036183	Q19952789
Q18036279	Q7119522
Q18036402	Q5973369
Q18036415	Q7275838
Q18036421	Q15997103
Q18036427	Q5514240
Q18036432	Q5514271
Q18036433	Q7118051
Q18036444	Q7391844
Q18036448	Q4654958
Q18036460	Q7390933
Q18036479	Q7118745
Q18036480	Q7672040
Q18036485	Q5420687
Q18036539	Q5011374
Q18036551	Q6954645
Q18036551	Q109313495
Q18036567	Q7863872
Q18036587	Q7948546
Q18036599	Q5628885
Q18036603	Q7275008
Q18036614	Q5009728
Q18036642	Q4655237
Q18036663	Q7118873
Q18036667	Q7275959
Q18036673	Q7119249
Q18036675	Q7118869
Q18036714	Q7118920
Q18036716	Q8062973
Q18036818	Q7119229
Q18036968	Q6459724
Q18036977	Q7276119
Q18060042	Q55613562
Q18031321	Q7277571
Q18031336	Q7277866
Q18031348	Q7388151
Q18031356	Q7388149
Q18031369	Q4650814
Q18031392	Q7389187
Q18031403	Q7389196
Q18031434	Q7671276
Q18031476	Q7390143
Q18031502	Q7394617
Q18031521	Q7390784
Q18031535	Q142650
Q18031538	Q7390905
Q18031540	Q7390907
Q18031541	Q5572587
Q18031553	Q7553397
Q18031579	Q1738527
Q18031581	Q7390928
Q18031582	Q7390791
Q18031587	Q16252729
Q18031596	Q7391052
Q18031616	Q7391790
Q18031632	Q7543127
Q18031634	Q7391897
Q18031666	Q16252760
Q18031697	Q4048885
Q18031732	Q3931285
Q18031739	Q614943
Q18031751	Q7394694
Q18031755	Q7394704
Q18031756	Q7394707
Q18031761	Q7394765
Q18031776	Q7394891
Q18031782	Q7394980
Q18031791	Q7395034
Q18031808	Q7395270
Q18031813	Q7669164
Q18031821	Q7669236
Q18031828	Q7669242
Q18031834	Q4043382
Q18031839	Q7669324
Q18031844	Q7669352
Q18031847	Q7669527
Q18031852	Q7669572
Q18031879	Q7669678
Q18031879	Q7669680
Q18031897	Q7671298
Q18031925	Q7120143
Q18031936	Q7669920
Q18031953	Q7670079
Q18031953	Q21789534
Q18031961	Q7670095
Q18031980	Q7670220
Q18031997	Q7670421
Q18032008	Q7670592
Q18032013	Q7389585
Q18032022	Q7670689
Q18032076	Q15997223
Q18032094	Q7671244
Q18032096	Q15997225
Q286987	Q18016400
Q286987	Q18204474
Q390540	Q17984109
Q390540	Q17984113
Q390540	Q18023163
Q417743	Q18030366
Q508356	Q18021626
Q508356	Q65295400
Q1022703	Q18035175
Q1632039	Q18016434
Q3631793	Q18033209
Q4050587	Q18051806
Q4316436	Q18030219
Q4649948	Q18034477
Q4650067	Q18047990
Q4650492	Q17709178
Q4734885	Q18016424
Q4833116	Q18016448
Q4955708	Q18016449
Q18053677	Q6953469
Q18053715	Q8046038
Q18053719	Q6327386
Q18053809	Q5629725
Q18053824	Q7395280
Q18053883	Q5514356
Q18053891	Q6714374
Q18053914	Q7669372
Q18053941	Q7394715
Q18053942	Q6955032
Q18054060	Q1521772
Q18054124	Q15996615
Q18050672	Q4654431
Q18050789	Q5514203
Q18050817	Q7119434
Q18050818	Q6720376
Q18050822	Q7277228
Q18050849	Q5512894
Q18050856	Q7390851
Q18050899	Q5007784
Q18051050	Q6715941
Q18051052	Q7390853
Q18051074	Q7395288
Q18051088	Q5424391
Q18051887	Q4836129
Q18052108	Q5009470
Q18052173	Q5009462
Q18052184	Q5013190
Q18036996	Q7395279
Q18037029	Q7118852
Q18037061	Q5014393
Q18037071	Q4835634
Q18037124	Q7072331
Q18037125	Q4653714
Q18037128	Q7121092
Q18037147	Q6953058
Q18037153	Q5420680
Q18037172	Q7390918
Q18037173	Q7278146
Q18037186	Q7390880
Q18037199	Q6955075
Q18037204	Q5324463
Q18037210	Q7119014
Q18037238	Q7277492
Q18037240	Q5008518
Q18037248	Q7120242
Q18037289	Q5009889
Q18037342	Q5008812
Q18037397	Q7072908
Q18037415	Q17182564
